薬の名前,棚情報
アスピリン腸溶,"アスピリン腸溶：棚A S-1"
アスピリン徴用,"アスピリン腸溶：棚A S-1"
アスピリンチョウヨウ,"アスピリン腸溶：棚A S-1"
アスピリン,"アスピリン腸溶：棚A S-1"
ゾフルーザ,"ゾフルーザ：棚A S-2"
Zoffルーザ,"ゾフルーザ：棚A S-2"
クロピドグレル,"クロピドグレル：棚A S-3"
黒ピドグレル,"クロピドグレル：棚A S-3"
グーフィス,"グーフィス：棚A S-4"
プレドニゾロン,"プレドニゾロン：棚A S-5"
ノイロトロピン,"ノイロトロピン：棚A T-1"
ジスロマック,"ジスロマック：棚A T-2"
ボグリボース,"ボグリボース：棚A T-3"
ボグリ坊主,"ボグリボース：棚A T-3"
北陸ポーズ,"ボグリボース：棚A T-3"
ミヤビーエム,"ミヤBM：棚A T-4"
ミヤBM,"ミヤBM：棚A T-4"
宮BM,"ミヤBM：棚A T-4"
宮ゲーム,"ミヤBM：棚A T-4"
雅エム,"ミヤBM：棚A T-4"
